EMPLOYEE_ID,EMPLOYEE_NAME,PHONE_NUMBER,HIRE_DATE,JOB,SALARY,MANAGER_ID,DEPARTMENT
204,Hermann Baer,"(515) 123-8888",2004-06-07,SALES REP,10000,101,SALES
205,Shelley Higgins,"(515) 123-8080",2004-06-07,CONTROLLER,12000,101,FINANCE
100,Steven King,"(515) 123-4567",2003-06-17,PRESIDENT,24000,,PRESIDENCE
101,Neena Kochhar,"(515) 123-4568",2003-06-17,VP,17000,100,PRESIDENCE
102,Lex De Haan,"(515) 123-4569",2003-06-17,VP,17000,100,PRESIDENCE
103,Alexander Hunold,"(590) 423-4567",2006-01-03,PROGRAMMER,9000,102,IT
104,Bruce Ernst,"(590) 423-4568",2007-05-21,PROGRAMMER,6000,103,IT
106,Valli Pataballa,"(590) 423-4560",2007-05-21,PROGRAMMER,4800,103,IT
108,Nancy Greenberg,"(515) 124-4569",2006-01-03,MANAGER,12000,101,FINANCE
111,Ismael Sciarra,"(515) 124-4369",2007-09-30,ACCOUNTANT,7700,108,FINANCE
112,Jose Manuel Urman,"(515) 124-4469",2006-03-07,ACCOUNTANT,7800,108,FINANCE
113,Luis Popp,"(515) 124-4567",2007-05-21,ACCOUNTANT,6900,108,FINANCE
114,Den Raphaely,"(515) 127-4561",2003-06-17,MANAGER,11000,100,ANALYTICS
115,Alexander Khoo,"(515) 127-4562",2005-12-24,CLERK,3100,114,ANALYTICS
116,Shelli Baida,"(515) 127-4563",2005-12-24,CLERK,2900,114,ANALYTICS
121,Adam Fripp,"(650) 123-2234",2003-06-17,MANAGER,8200,100,DOCUMENTATION
129,Laura Bissot,"(650) 124-5234",2004-06-07,CLERK,3300,121,DOCUMENTATION
